boro,block,lot,bin,address_string
4,00006,0001,4542932,(CENTER BOULEVARD)
4,00006,0003,4542931,52-20 (2 STREET)
4,00006,0008,4538588,1-50 51 AVENUE::ACADEMY FOR CAREERS IN TV & FILM::CENTER BOULEVARD SCHOOL::HUNTERS POINT COMMUNITY MS::THE RIVERVIEW SCHOOL
4,00006,1001,4541370,1-50 (50 AVENUE)
4,00006,1101,4540070,(2 STREET)
4,00006,1101,4541408,1-55 (BORDEN AVENUE)
4,00011,0001,4436569,2-02 - 2-50 (54 AVENUE)
4,00011,0001,4436570,54-19 - 55-01 (2 STREET)
4,00013,0001,4542943,2-16 (BORDEN AVENUE)
4,00013,0001,4542949,2-16 REAR (BORDEN AVENUE)
4,00013,0001,4798066,(LIRR LONG ISLAND CITY STATION)
4,00013,0025,4000004,(BORDEN AVENUE)
4,00013,0035,4000005,52-25 (2 STREET)
4,00013,0035,4542968,(2 STREET)
4,00013,0035,4542970,(2 STREET)
4,00013,0035,4542971,(2 STREET)
4,00013,0035,4542972,(2 STREET)
4,00013,0035,4542975,(2 STREET)
4,00013,0035,4542976,(2 STREET)
4,00013,0035,4542977,(2 STREET)
4,00013,0035,4542978,(2 STREET)
4,00013,0035,4542979,(2 STREET)
4,00013,0105,4000006,5-15 - 5-43 54 AVENUE::53-02 VERNON BOULEVARD
4,00013,0135,4457272,52-01 2 STREET::2-02 BORDEN AVENUE
4,00013,0160,4532636,2-39 (54 AVENUE)
4,00013,0175,4442931,52-35 - 52-37 2 STREET::54 AVENUE
4,00013,0175,4442932,2-17 (54 AVENUE)
4,00015,0001,4000007,51-11 2 STREET::2-01 - 2-05 BORDEN AVENUE
4,00015,0004,4000008,2-08 - 2-10 51 AVENUE::2-07 - 2-13 BORDEN AVENUE
4,00015,0006,4000009,2-14 - 2-16 51 AVENUE::2-15 BORDEN AVENUE
4,00015,0010,4000010,"2-24,2-28 51 AVENUE::2-23 BORDEN AVENUE"
4,00015,0034,4000012,2-20 (51 AVENUE)
4,00015,0044,4000013,51-09 GARAGE 2 STREET::51 AVENUE
4,00015,0044,4518725,51-09 (2 STREET)
4,00015,1001,4000011,2-30 - 2-62 51 AVENUE::51-02 - 51-20 5 STREET::2-27 - 2-45 BORDEN AVENUE
4,00016,0008,4594739,"50-01 2 STREET::2-02,2-10,2-14,2-20,2-24 50 AVENUE"
4,00016,0025,4000016,2-49 51 AVENUE::50-02 - 50-10 5 STREET::50 AVENUE
4,00016,1001,4540156,50-09 2 STREET::2-11 - 2-17 51 AVENUE
4,00016,1201,4616494,2-26 50 AVENUE::2-45 51 AVENUE
4,00017,0001,4436571,49-18 - 49-20 (5 STREET)
4,00017,0001,4436573,2-29 - 2-47 (50 AVENUE)
4,00017,0001,4436574,"4-26 - 4-34 49 AVENUE::49-02 - 49-08,49-10 - 49-12 5 STREET"
4,00017,0019,4000017,2-19 (50 AVENUE)
4,00017,0028,4533416,4-12 49 AVENUE::2-01 - 2-07 50 AVENUE::49-11 CENTER BOULEVARD
4,00017,0029,4538610,4-02 (49 AVENUE)
4,00018,0001,4000019,4-62 - 4-90 48 AVENUE::4-15 49 AVENUE::48-02 - 48-48 5 STREET::48-09 CENTER BOULEVARD::PS/IS   78 Q
4,00018,0005,4542915,(CENTER BOULEVARD)
4,00018,0005,4542916,(CENTER BOULEVARD)
4,00019,0002,4534606,4-95 (48 AVENUE)
4,00019,0010,4534607,4-89 (48 AVENUE)
4,00019,0015,4534608,4-83 - 4-85 (48 AVENUE)
4,00019,0019,4439033,4-56 - 4-80 47 ROAD::4-75 48 AVENUE::47-38 - 47-48 5 STREET::47-31 CENTER BOULEVARD
4,00019,0021,4594151,47-40 (CENTER BOULEVARD)
4,00019,0021,4594828,4-44 (47 ROAD)
4,00019,0021,4594829,4-50 (47 ROAD)
4,00020,0007,4000021,(47 AVENUE)
4,00021,0010,4541712,45-40 - 45-60 CENTER BOULEVARD::46 AVENUE
4,00021,0020,4541713,45-45 CENTER BOULEVARD::46 AVENUE::5 STREET
4,00021,0030,4542629,46-08 5 STREET::46 AVENUE::PS/IS   78 Q MIDDLE SCHOOL BLDG
4,00021,0035,4541715,46-15 CENTER BOULEVARD::46 AVENUE
4,00021,0040,4536842,46-20 - 46-40 5 STREET::47 AVENUE::CENTER BOULEVARD
4,00021,0060,4534604,4-76 47 AVENUE::4-85 47 ROAD::47-02 - 47-04 5 STREET::47-05 - 47-11 CENTER BOULEVARD
4,00021,0070,4538318,47-20 (CENTER BOULEVARD)
4,00021,0110,4541714,46-10 CENTER BOULEVARD::46 AVENUE::46 ROAD
4,00021,1001,4536823,46-30 - 46-46 CENTER BOULEVARD::47 AVENUE
4,00024,0001,4000024,5-48 - 5-54 44 DRIVE::5-47 - 5-57 45 AVENUE::44-60 - 44-68 VERNON BOULEVARD
4,00024,0007,4000025,5-23 - 5-41 (45 AVENUE)
4,00024,0007,4518727,5-02 - 5-40 44 DRIVE::44-59 5 STREET
4,00024,0007,4597860,5-01 - 5-21 45 AVENUE::44-67 5 STREET
4,00025,0001,4000026,5-42 - 5-50 45 AVENUE::45-16 VERNON BOULEVARD
4,00025,0001,4436575,45-22 (VERNON BOULEVARD)
4,00025,0001,4436576,45-10 - 45-12 (VERNON BOULEVARD)
4,00025,0001,4541702,45-16 FRONT (VERNON BOULEVARD)
4,00025,0009,4000027,45-08 (VERNON BOULEVARD)
4,00025,0010,4436577,45-06 REAR (VERNON BOULEVARD)
4,00025,0010,4538611,"45-02,45-06 (VERNON BOULEVARD)"
4,00025,0011,4307104,5-58 - 5-60 45 AVENUE::45-04 VERNON BOULEVARD
